,Address,Main_Index
0,716 1/2 BRAZOS ST,280
1,5936 WESTMINSTER DR,6279
2,4361 S CONGRESS AVE,12856
3,4617 1/2 TANNEHILL LN,12890
4,6811 OLD BEE CAVES RD,12912
5,1301 1/2 S LAMAR BLVD,12919
6,6311 OLD BURLESON RD,12925
7,5119 E 7TH ST,12939
8,5201 E 7TH ST,12941
9,6513 BURNET LN,12957
10,2068 S LAMAR BLVD,12962
11,203 VICTOR ST,12964
12,9000 1/2 JOLLYVILLE RD,12970
13,11110 BLUFF BEND DR,12974
14,12400 RESEARCH BLVD SVRD SB,12975
15,5205 1/2 BURNET RD,12976
16,9401 DESSAU RD,12980
17,6757 AIRPORT BLVD,12986
18,11118 N IH 35 SVRD SB,12988
19,8807 1/2 N IH 35 SVRD NB,12989
20,11220 BLUFF BEND DR,12994
21,1616 E OLTORF ST,12995
22,1702 1/2 E OLTORF ST,12997
23,13449 1/2 N US 183 HWY SVRD NB,12998
24,4104 1/2 N IH 35 UPPER DECK SB,13000
25,631 GUNTER ST,13002
26,11400 RESEARCH BLVD SVRD SB,13004
27,1136 1/2 AIRPORT BLVD,13005
28,6013 1/2 N IH 35 SVRD NB,13006
29,10705 N IH 35 SVRD NB,13008
30,201 1/2 E STASSNEY LN,13014
31,10116 OLD SAN ANTONIO RD,13015
32,5555 N LAMAR BLVD,13017
33,1105 CHICON ST,13018
34,6103 HAROLD CT,13019
35,840 BASTROP HWY SB,13020
36,11100 1/2 MOTHERAL DR,13022
37,2207 1/2 S 1ST ST,13023
38,2213 1/2 S 1ST ST,13024
39,4314 1/2 MEDICAL PKWY,13025
40,1512 MANOR RD,13027
41,1504 MANOR RD,13028
42,1514 1/2 MANOR RD,13030
43,1500 MANOR RD,13031
44,1820 MANOR RD,13038
45,2008 S 1ST ST,13040
46,2130 S CONGRESS AVE,13041
47,2305 S 1ST ST,13042
48,2217 S 1ST ST,13043
49,2303 S 1ST ST,13044
50,2214 S 1ST ST,13045
51,2415 S CONGRESS AVE,13048
52,507 W LIVE OAK ST,13049
53,1802 E 2ND ST,13050
54,1518 MANOR RD,13051
55,2501 S CONGRESS AVE,13052
56,2707 1/2 GONZALES ST,13054
57,201 E OLTORF ST,13056
58,2401 S CONGRESS AVE,13057
59,1919 S 1ST ST,13058
60,2000 1/2 S 1ST ST,13059
61,2004 S 1ST ST,13060
62,2304 S CONGRESS AVE,13061
63,5107 1/2 BOLM RD,13062
64,1800 E 2ND ST,13064
65,12361 1/2 N IH 35 SVRD NB,13065
66,1900 S 1ST ST,13066
67,111 E OLTORF ST,13067
68,2312 S 1ST ST,13068
69,604 FLETCHER ST,13069
70,915 W MARY ST,13070
71,605 CANYON RIDGE DR,13071
72,501 CANYON RIDGE DR,13072
73,1008 E CESAR CHAVEZ ST,13074
74,2310 S 1ST ST,13075
75,2326 S CONGRESS AVE,13076
76,508 W LIVE OAK ST,13077
77,1902 1/2 S 1ST ST,13078
78,2101 S 1ST ST,13079
79,205 E OLTORF ST,13080
80,401 1/2 E OLTORF ST,13081
81,1306 1/2 W OLTORF ST,13082
82,2007 S 1ST ST,13083
83,1902 S CONGRESS AVE,13085
84,505 W LIVE OAK ST,13086
85,2302 S CONGRESS AVE,13087
86,2316 S 1ST ST,13088
87,2209 S 1ST ST,13089
88,2213 S 1ST ST,13090
89,2314 1/2 S 1ST ST,13091
90,2020 S CONGRESS AVE,13093
91,2110 S CONGRESS AVE,13094
92,2104 S 1ST ST,13095
93,5200 1/2 WASSON RD,13097
94,2114 S CONGRESS AVE,13098
95,1900 MANOR RD,13099
96,2304 S 1ST ST,13100
97,2201 S 1ST ST,13101
98,104 1/2 W LIVE OAK ST,13102
99,1905 S 1ST ST,13103
100,2000 S CONGRESS AVE,13104
101,2118 S CONGRESS AVE,13106
102,2210 S 1ST ST,13107
103,601 W LIVE OAK ST,13108
104,635 1/2 CANYON RIDGE DR,13109
105,2002 S CONGRESS AVE,13110
106,2609 1/2 GARDENIA DR,13112
107,1903 S 1ST ST,13113
108,2001 1/2 S 1ST ST,13114
109,2307 1/2 S 1ST ST,13115
110,2210 1/2 S 1ST ST,13116
111,2336 1/2 S CONGRESS AVE,13117
112,505 W MARY ST,13118
113,2407 S CONGRESS AVE,13119
114,501 W LIVE OAK ST,13120
115,2415 1/2 S CONGRESS AVE,13121
116,12363 1/2 N IH 35 SVRD NB,13122
117,400 LONG BOW LN,13123
118,2216 S 1ST ST,13124
119,503 W MARY ST,13125
120,1912 S CONGRESS AVE,13126
121,2215 S 1ST ST,13127
122,2000 S 7TH ST,13128
123,1902 S 1ST ST,13129
124,1900 S CONGRESS AVE,13130
125,2617 1/2 S 1ST ST,13132
126,2336 S CONGRESS AVE,13133
127,303 E OLTORF ST,13134
128,501 1/2 CANYON RIDGE DR,13135
129,501 W MARY ST,13136
130,1804 E 2ND ST,13137
131,606 FLETCHER ST,13138
132,3301 E 12TH ST,13140
133,2300 S CONGRESS AVE,13141
134,2004 S CONGRESS AVE,13142
135,2009 S 1ST ST,13143
136,2313 S 1ST ST,13144
137,4320 1/2 S CONGRESS AVE,13145
138,2306 S 1ST ST,13146
139,2409 1/2 S CONGRESS AVE,13147
140,2300 S 1ST ST,13148
141,2409 S CONGRESS AVE,13149
142,510 W LIVE OAK ST,13150
143,1901 S 1ST ST,13151
144,2301 S 1ST ST,13152
145,111 1/2 E OLTORF ST,13153
146,2206 S CONGRESS AVE,13154
147,511 W LIVE OAK ST,13155
148,516 W OLTORF ST,13156
149,715 E DEAN KEETON ST,13353
150,7015 E US 290 HWY SVRD EB,13361
151,1415 1/2 EVA ST,14913
152,7804 HUDSON LOOP,15581
153,3809 GUADALUPE ST,15582
154,4303 GUADALUPE ST,15583
155,208 W POWELL LN,15584
156,4446 FRONTIER TRL,15585
157,516 LIGHTSEY RD,15586
158,5413 S CONGRESS AVE,15587
159,10284 1/2 S IH 35 SVRD SB,15588
160,2524 SAN ANTONIO ST,15589
161,5306 BURNET RD,15590
